"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1918168","1908904","1901729","1897784","1890139","1887004","1892949","1904849","1929412","1946648","1962853","1978333","2041266","2087453","2134909","2177116","2226818","2278958","2334948","2394171","2447687",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152430","151444","150827","150048","149703","148273","148116","147818","149702","151120","152426","153799","159101","162950","166602","169679","173559","177607","182218","187157","192477",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"487207","493935","500477","508784","519533","533157","555170","573594","596978","616932","637215","658617","695870","727705","761217","794989","830335","865113","900787","938374","976375",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108196","108125","108011","108231","108754","109204","110593","112049","113875","115343","116807","117714","120902","124381","128366","132362","136643","141069","146071","151794","157177",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"705380","712341","717537","726905","736685","751856","774360","792742","816996","837344","858339","877393","917211","950298","983171","1013407","1044708","1075141","1107542","1143881","1180543",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2081043","2106665","2133468","2169960","2209185","2257814","2329651","2388097","2463988","2542745","2620703","2701716","2838491","2956722","3078906","3201879","3328106","3455945","3589741","3726513","3873683",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191226","194367","197940","201563","205856","212772","220866","226890","235191","243394","251154","258234","270721","282243","294242","306412","319831","333875","348774","364960","381593",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77694","78105","78717","79413","80259","81186","82887","84686","87242","89315","91545","93853","98134","102000","105674","109210","112948","116911","120948","124625","128594",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"795196","806139","817654","830905","843511","862030","880307","900391","930374","956921","983573","1010666","1062186","1105554","1148151","1189259","1230993","1272547","1315811","1359679","1401044",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663772","669956","677450","687110","699007","713571","733951","752933","777493","806616","833783","858700","904506","944064","985624","1028494","1072510","1116012","1161056","1205820","1247874",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277060","276903","277528","279225","279941","281261","284105","287475","291914","294949","298149","301146","311807","320286","329379","337190","345230","352916","360267","367624","373569",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"703347","704905","708511","713138","718291","724024","730958","740868","755862","767936","780187","791189","820285","844584","870517","895199","922860","952465","982017","1014956","1047935",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57884","58505","59139","60195","61176","62187","63310","64764","66678","68607","70549","72256","75807","78873","81982","85249","88420","91956","95994","99917","103776",,
"        Adult working-age (18-64) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137833805","140033252","142064527","143865383","145464767","146883913","148259859","149606667","151128422","152681210","154160041","155861474","157656476","159431155","161163486","163045067","165025786","167328927","169806438","172295967","174716654","177007489","179166529","181143646","183304244","185343132","187458091","189386091","191211743","193014187","194726261","196315782","197032477","197835876","198632107","199429404","200163983","200732153","201098093","201204543","203268797","202990392","203041878"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2749020","2763394","2777894","2800036","2823241","2850474","2889103","2918474","2946335","2974705","2978209","2988165","2985930","2986285","2980624","2975718","2969200","2963149","2957978","2953647","2945934",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401242","407528","414987","421162","430803","437697","444122","448350","454009","459665","448151","456440","458889","459328","457966","455990","455595","451297","446918","442175","437117",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3115840","3191229","3272195","3345009","3437326","3553377","3674010","3756819","3819547","3855365","3869886","3916040","3949134","3981477","4028088","4076301","4131980","4183907","4246901","4314711","4381386",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1623706","1637406","1651858","1667506","1686390","1706635","1731368","1747096","1761263","1774374","1781636","1795166","1792621","1790874","1788854","1790798","1792618","1793480","1792676","1790430","1789244",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21112439","21502346","21814596","22103184","22372695","22583125","22777740","22967455","23225956","23502235","23614598","23846933","24007531","24172131","24348924","24494021","24594430","24650708","24661233","24581225","24444801",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2801959","2873599","2920336","2943920","2978581","3013905","3069525","3119475","3172306","3220602","3232462","3279668","3311145","3349585","3392362","3453304","3506386","3544068","3588712","3622358","3645367",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2098783","2116009","2138187","2158971","2172488","2187503","2201813","2212246","2226359","2240503","2247529","2259312","2257076","2254465","2251984","2244122","2232892","2224271","2216579","2201127","2185148",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"489290","496225","504161","512904","521765","531083","539711","547389","554042","558766","560118","565144","566619","568950","571675","574211","575385","576199","577768","579532","581139",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"387779","391034","391322","389727","391144","393347","399064","404046","411194","422330","431793","443199","452337","461247","466929","474030","479516","484183","487768","488464","489690",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9580480","9808728","10056621","10293975","10592274","10892773","11139744","11283568","11373929","11449646","11497706","11629889","11718010","11820615","11957791","12132640","12327704","12495038","12617031","12697079","12777572",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5262287","5361629","5446098","5516427","5617714","5703763","5844026","5958752","6053408","6128408","6123215","6173234","6215080","6233930","6267742","6318470","6382908","6435742","6486202","6540786","6572760",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"757052","768429","780560","788664","804999","819996","833611","835894","846658","853542","824126","830701","832453","832676","830243","828039","827277","819550","812628","801898","790826",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"782542","797969","812561","829049","848049","869458","893170","913720","928795","938640","940781","948480","952154","957481","965168","973413","989921","1008833","1026314","1046437","1066338",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7688563","7743826","7788251","7824916","7866855","7895268","7939356","7983348","8024120","8066366","8067236","8104249","8092255","8088247","8065752","8024198","7968540","7915500","7850661","7780079","7692962",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3763065","3792138","3817196","3849741","3877489","3908457","3942125","3970197","3995680","4018873","4035199","4057417","4056353","4065873","4068315","4062896","4063877","4062925","4071514","4074882","4070389",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1759350","1767632","1776119","1787173","1799505","1809907","1822406","1833397","1844286","1855775","1866977","1879679","1880901","1886677","1890392","1890645","1888046","1885499","1880318","1877577","1870064",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1623266","1635636","1649735","1660519","1673171","1683625","1698246","1710268","1726062","1738760","1733128","1740971","1742354","1741128","1741699","1740773","1738050","1728407","1722871","1713530","1706007",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2548442","2566870","2586006","2604951","2628873","2650855","2669659","2692338","2707215","2724826","2723089","2736083","2730272","2735184","2727790","2724808","2719611","2717626","2709876","2700711","2687474",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2736496","2754788","2780904","2807233","2840258","2863733","2708126","2753943","2788995","2828278","2842559","2870601","2872106","2878004","2878314","2878613","2871165","2850282","2831365","2810353","2784362",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"791952","800438","810697","821487","829092","835368","840227","842851","844967","843974","839641","841881","835570","830247","826759","821244","817729","814784","811922","809590","806829",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3352630","3399587","3450076","3493632","3532980","3570907","3603291","3625292","3647493","3681774","3695668","3731887","3748449","3758594","3761182","3762932","3747995","3743902","3733658","3720915","3698975",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3998872","4035259","4059542","4075564","4081834","4089135","4108650","4131619","4162066","4202992","4235057","4274551","4295095","4320693","4345335","4357816","4366310","4378486","4378417","4368572","4348717",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6135037","6171551","6201237","6233498","6254958","6264032","6263090","6239983","6206989","6185365","6171603","6186600","6176384","6173009","6165829","6148675","6137522","6126943","6107549","6073588","6023592",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3048595","3092664","3127298","3161315","3191548","3219270","3250768","3279817","3304014","3324611","3337143","3361524","3368909","3380346","3389147","3393905","3400306","3408561","3414796","3415393","3405146",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1729982","1740014","1750133","1760938","1777280","1788874","1789791","1804223","1816918","1824267","1819216","1826129","1822144","1823276","1818643","1810888","1805993","1800768","1787679","1777045","1758996",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3422671","3456383","3490850","3524106","3559237","3593386","3629768","3659921","3682636","3707509","3710592","3724707","3718981","3716758","3714785","3713720","3707468","3704254","3695744","3685253","3671570",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"552418","557318","563099","571323","580734","588986","597980","605556","612270","616380","616171","619559","619796","622414","623577","624977","627121","630257","630866","631814","633940",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1031010","1039248","1048379","1059201","1068880","1079153","1087359","1093772","1101843","1112008","1115594","1123169","1127198","1131131","1134847","1136596","1139471","1139996","1140314","1138677","1136494",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1281125","1331898","1379337","1427124","1491186","1548805","1607840","1656263","1687991","1703401","1701036","1703943","1716120","1727841","1746224","1769310","1793788","1821774","1854163","1887531","1910535",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"781149","794364","805719","816087","825009","833390","841347","845543","848519","849983","849836","852575","852244","850335","852544","851488","852252","852772","851290","850176","848704",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5227366","5274979","5320178","5356838","5386210","5409443","5430700","5451343","5476819","5513297","5538313","5561329","5553003","5550051","5540928","5529088","5512924","5505076","5486192","5462188","5428496",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1099749","1110887","1131227","1150873","1172228","1192643","1212680","1230572","1241074","1255115","1260546","1268822","1266564","1264330","1256231","1250327","1245375","1239472","1234435","1232979","1232264",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11860944","11947586","12013170","12075438","12109278","12124026","12154626","12203838","12280997","12371930","12426048","12507867","12510419","12519457","12496272","12450753","12386885","12305096","12220027","12105192","11953923",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5141501","5220064","5290567","5342648","5431445","5524302","5654052","5769580","5886651","5969961","5942071","5999804","6021387","6055311","6087143","6131731","6187937","6244616","6299885","6347106","6382419",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386961","388704","391080","394643","401268","404014","407709","410831","414322","419722","419225","427242","436388","449264","458256","466820","463393","459662","457725","455940","453363",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6967551","6999350","7030453","7066159","7093891","7116297","7135220","7149008","7157294","7173122","7179318","7196164","7166259","7163002","7152918","7137783","7120499","7106579","7087082","7062342","7018178",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2105948","2124621","2146334","2160953","2180534","2196512","2224282","2248660","2268124","2295210","2294689","2312419","2322385","2335521","2342851","2355206","2357848","2352161","2348966","2350864","2354414",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2143215","2176841","2214716","2242982","2261223","2293797","2332160","2366954","2395040","2419666","2431553","2453686","2457590","2460874","2473972","2497678","2538085","2563025","2575586","2584328","2588623",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7447155","7484230","7534367","7593604","7647458","7703193","7767082","7819514","7861869","7915281","7952022","7996656","7980130","7965251","7946839","7916383","7879420","7844283","7814723","7762515","7708432",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649773","657402","666478","673219","678648","677711","677632","675842","675503","676624","674241","674999","674314","673574","673401","672279","670952","668229","666640","662658","658379",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2526375","2554926","2586787","2617728","2662277","2700052","2752635","2806326","2857902","2893211","2878315","2894087","2903037","2920081","2939522","2968000","2994587","3018272","3040894","3064223","3082308",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444967","449052","453315","458172","464838","469813","475108","480727","485401","490520","492396","498011","503397","506918","507900","507851","509750","513074","513130","514053","513599",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3598654","3630870","3663524","3696046","3740781","3789875","3844240","3900238","3936061","3973988","3983617","4010492","4021840","4033054","4044021","4059998","4081818","4111796","4139912","4155118","4172540",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12957155","13232770","13496485","13727991","13976579","14229339","14583131","14878014","15169134","15466109","15615983","15894643","16119005","16343171","16615355","16906023","17149615","17353617","17537866","17739255","17937697",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331590","1362529","1393358","1418091","1443953","1477059","1514684","1555360","1590580","1622174","1643711","1668394","1688777","1713539","1734557","1761059","1798094","1836893","1871382","1903647","1934174",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"384375","388078","392284","395727","398593","401096","403274","404100","404309","405052","404058","405657","402712","400875","397916","395908","392563","390475","387653","384524","381015",,
